X,Y,u_x,u_y,,X1,Y1,sigma_xx,sigma_yy,sigma_xy
0.220632106,2.925,0.000379531,-0.681834776,,0.276337765,0.137367702,-1.208292822,-2.853491042,0.010027377
0.22826087,0,0,0,,0.282076175,0.49548546,-1.028635578,-2.507051542,0.007857104
0.22826087,0.075,0.00033432,-0.032894976,,0.282740884,0.043610035,-1.256784909,-2.943676742,0.01070714
0.22826087,0.075,0.00033432,-0.032894976,,0.282752253,0.356631404,-1.097137009,-2.641722695,0.008909193
0.266212215,0.391246104,0.001814749,-0.16320787,,0.283261438,0.418448857,-1.066448515,-2.58182468,0.008478794
0.266212215,0.391246104,0.001814749,-0.16320787,,0.283980778,0.598608103,-0.978732479,-2.406677181,0.007075365
0.266212215,0.391246104,0.001814749,-0.16320787,,0.287995836,0.674787698,-0.942399435,-2.332314072,0.006523315
0.266212215,0.391246104,0.001814749,-0.16320787,,0.289186824,0.810835958,-0.878752106,-2.199109593,0.005336249
0.266212215,0.391246104,0.001814749,-0.16320787,,0.289954007,0.26145591,-1.144900387,-2.733698815,0.009790674
0.266212215,0.391246104,0.001814749,-0.16320787,,0.290434059,0.734708237,-0.914161222,-2.273705073,0.006047967
0.267672128,0.470291503,0.002119584,-0.193641081,,0.291279259,0.912821644,-0.832031517,-2.098871129,0.004435784
0.267672128,0.470291503,0.002119584,-0.193641081,,0.294132634,1.124027756,-0.737988473,-1.890244399,0.002502273
0.269132041,0.549336902,0.002400224,-0.223208513,,0.294795768,1.225749656,-0.693964669,-1.789265441,0.001569331
0.269132041,0.549336902,0.002400224,-0.223208513,,0.29561898,1.436011147,-0.605419436,-1.579540479,-0.000279629
0.270591954,0.628382302,0.002655536,-0.251904613,,0.295635364,0.98822087,-0.79801315,-2.024539005,0.003793028
0.270591954,0.628382302,0.002655536,-0.251904613,,0.29576439,1.537317544,-0.563854129,-1.478036254,-0.001105401
0.272051867,0.707427701,0.002884557,-0.27972366,,0.295884859,1.747310779,-0.47968294,-1.266785517,-0.002611786
0.272051867,0.707427701,0.002884557,-0.27972366,,0.295903418,1.848822565,-0.439822048,-1.164306776,-0.003213988
0.272051867,0.707427701,0.002884557,-0.27972366,,0.296093988,2.060380065,-0.358060466,-0.950156571,-0.004133407
0.272051867,0.707427701,0.002884557,-0.27972366,,0.296281402,2.163206655,-0.318770026,-0.845871262,-0.004388339
